release,GA-date
2.6.0,2024-02-06
2.7.0,2024-02-27
2.8.0,2024-03-19
2.8.4,2024-08-12
2.9.0,2024-05-01
2.10.0,2024-06-24
2.11.0,2024-07-16
2.11.1,2024-10-09
2.12.0,2024-08-30
2.13.0,2024-09-16
2.13.1,2024-10-29
2.14.0,2024-10-17
2.15.0,2024-11-14
2.16.0,2024-12-09
2.16.1,2025-02-04
2.16.2,2025-03-31
2.16.3,2025-09-30
2.17.0,2025-02-13
2.18.0,2025-03-11
2.19.0,2025-04-15
2.19.1,2025-07-02
2.19.2,2025-07-15
2.19.3,2025-09-30
2.20.0,2025-05-14
2.21.0,2025-06-17
2.22.0,2025-07-16
2.22.1,2025-08-12
2.22.2,2025-09-30
2.22.3,2025-12-01
2.23.0,2025-08-14
2.24.0,2025-10-07
2.25.0,2025-10-23
2.25.1,2025-12-17
2.25.2,2026-02-12
2.25.3,2026-03-05
2.25.4,2026-04-13
2.25.5,2026-05-21
3.0.0,2025-11-13
3.2.0,2026-01-15
3.3.0,2026-03-05
3.3.1,2026-03-23
3.3.2,2026-05-04
3.3.3,2026-06-25
3.4.EA1,2026-03-20
3.4.EA2,2026-04-23
3.4.0,2026-05-14

